Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.smart-immunizations-measles.json	15356	-	0	0	0	0	0	0	7	202	0	0	0	0	0	0	0	2	0	0	202	245	0	0	0	1	7	0	1
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2073	16	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	48	19	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	760	8	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	20	28	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	728	7	1	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	22	48	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	559	8	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	21	58	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ-C.json	3278	19	0	0	1	0	0	0	0	57	0	0	2	0	0	0	0	0	0	0	30	40645	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ-D1.json	10077	54	0	0	0	0	0	0	1	86	0	0	0	0	0	0	0	0	0	0	73	415	0	0	0	0	8	0	0
fsh-generated/resources/ConceptMap-IMMZ-D1.ConceptMap.json	19656	109	0	0	0	0	0	0	2	1876	0	0	0	0	0	0	0	0	0	0	189	412	0	0	0	0	3	0	1
fsh-generated/resources/ConceptMap-IMMZ.C.ConceptMap.json	7479	42	1	0	0	0	0	0	1	1209	0	0	0	0	0	0	0	1	0	0	77	120	0	0	0	0	7	0	0
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2403	15	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	30	62	0	0	0	0	0	0	0
fsh-generated/resources/ExampleScenario-Scenario1.json	1668	12	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	33	789	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeasles.json	1533	10	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	26	25	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-Questionnaire-IMMZCRegisterClient.json	9293	49	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	108	29315	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-Questionnaire-IMMZD1ClientHistory.json	8434	43	1	0	0	0	0	0	1	50	0	0	0	0	0	0	0	2	0	0	97	385	0	0	0	0	5	0	0
