Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.smart-immunizations-measles.json	29792	-	0	0	0	0	0	0	9	291	0	0	0	0	0	0	0	1	0	0	322	348	0	0	0	0	18	0	1
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1593	21	0	0	0	1	0	0	0	52	0	0	0	0	0	0	0	0	0	0	23	28	0	0	0	0	1	0	1
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1395	10	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	17	38	0	0	1	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2092	16	1	0	0	0	0	0	1	32	0	0	0	0	0	0	0	0	0	0	24	26	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	760	10	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	20	49	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	728	10	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	17	51	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	559	6	1	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	16	50	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ICD11.json	5865	30	0	0	0	0	0	0	0	67	0	0	1	0	0	0	0	1	0	0	56	43847	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3276	15	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	37	248	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE1.json	1047	7	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	16	185	0	0	0	0	0	0	0
